web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,category-link-1,category-link-1-href,category-link-2,category-link-2-href,category-link-3,category-link-3-href,category-link-4,category-link-4-href,category-link-5,category-link-5-href,category-link-6,category-link-6-href,pagination-selector,name,data,data2,discount,data3,data4,description,image-src,description2
"1755862441-1","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4f8937ad7ea843cf98a83415e1124613_9366/superstar-ii-shoes.jpg","originals"
"1755862441-2","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ae9587cb634b4113b94a264aa874e125_9366/superstar-ii-shoes.jpg","originals"
"1755862441-3","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/6f82996a8cbd44528641b1dfcbbe5ede_9366/superstar-ii-shoes.jpg","originals"
"1755862441-4","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","SUPERSTAR II shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/cb10786e518b49d2b76d76efd3b5554f_9366/superstar-ii-shoes.jpg","originals"
"1755862441-5","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7031469788fd4c749e48515250589132_9366/superstar-ii-shoes.jpg","originals"
"1755862441-6","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fe968b7f7b6e418b8c5788a1b13e2f20_9366/superstar-ii-shoes.jpg","originals"
"1755862441-7","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹12 999.00 Original price","-40%Discount","₹7 799.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/cd7ebee80bf84f7cb7f48b544876598e_9366/superstar-ii-shoes.jpg","originals"
"1755862441-8","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/49b671fbf6184f788b3355c023eb87f1_9366/superstar-ii-shoes.jpg","originals"
"1755862441-9","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/200520e11c5744d6a3d0de89f5b76110_9366/superstar-ii-shoes.jpg","originals"
"1755862441-10","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f8d12ea9046845de80374ce8cee3a32a_9366/superstar-ii-shoes.jpg","originals"
"1755862441-11","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹12 999.00 Original price","40%Discount","₹7 799.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a25b670258b34f129e6ca817f8f7f3d6_9366/superstar-ii-shoes.jpg","originals"
"1755862441-12","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹11 999.00 Original price","40%Discount","₹7 199.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/5a9a530a000a477e9c09d357f65ab207_9366/superstar-ii-shoes.jpg","originals"
"1755862441-13","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹9 999.00 Original price","40%Discount","₹5 999.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/5e08da5bcc094fdc80ff358ea3619984_9366/superstar-ii-shoes.jpg","originals"
"1755862441-14","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹11 999.00 Original price","40%Discount","₹7 199.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/54a6a36223454ecf8045bc903defeec5_9366/superstar-ii-shoes.jpg","originals"
"1755862441-15","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹9 999.00 Original price","40%Discount","₹5 999.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4e73a248ba0c4c43a87c236d5515281d_9366/superstar-ii-shoes.jpg","originals"
"1755862441-16","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar Shoes","Discount","₹8 999.00 Original price","40%Discount","₹5 399.50","Sale price","3 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8d3ab16a86e64571b405aad600bad099_9366/superstar-shoes.jpg","Men Lifestyle"
"1755862441-17","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar Shoes","Discount","₹8 999.00 Original price","40%Discount","₹5 399.50","Sale price","3 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f112bd38aab24636aa55aae700d35989_9366/superstar-shoes.jpg","originals"
"1755862441-18","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar Shoes","Discount","₹8 999.00 Original price","50%Discount","₹4 499.50","Sale price","3 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d699a097bfb846298334aad80120f0f2_9366/superstar-shoes.jpg","Lifestyle"
"1755862441-19","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar 82 Shoes","Discount","₹14 999.00 Original price","50%Discount","₹7 499.50","Sale price","","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0f0f2c6068844570be1d54570f37391d_9366/superstar-82-shoes.jpg","Men Lifestyle"
"1755862441-20","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹12 999.00 Original price","40%Discount","₹7 799.50","Sale price","15 colours","","originals"
"1755862441-21","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar 82 Shoes","Discount","₹14 999.00 Original price","50%Discount","₹7 499.50","Sale price","","","Men Lifestyle"
"1755862441-22","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹11 999.00 Original price","40%Discount","₹7 199.50","Sale price","15 colours","","originals"
"1755862441-23","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹12 999.00 Original price","-40%Discount","₹7 799.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a25b670258b34f129e6ca817f8f7f3d6_9366/superstar-ii-shoes.jpg","originals"
"1755862441-24","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹11 999.00 Original price","-40%Discount","₹7 199.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/5a9a530a000a477e9c09d357f65ab207_9366/superstar-ii-shoes.jpg","originals"
"1755862441-25","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹12 999.00 Original price","-40%Discount","₹7 799.50","Sale price","15 colours","","originals"
"1755862441-26","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹9 999.00 Original price","-40%Discount","₹5 999.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/5e08da5bcc094fdc80ff358ea3619984_9366/superstar-ii-shoes.jpg","originals"
"1755862441-27","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹11 999.00 Original price","-40%Discount","₹7 199.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/54a6a36223454ecf8045bc903defeec5_9366/superstar-ii-shoes.jpg","originals"
"1755862441-28","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹9 999.00 Original price","-40%Discount","₹5 999.50","Sale price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4e73a248ba0c4c43a87c236d5515281d_9366/superstar-ii-shoes.jpg","originals"
"1755862441-29","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar Shoes","Discount","₹8 999.00 Original price","-40%Discount","₹5 399.50","Sale price","3 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8d3ab16a86e64571b405aad600bad099_9366/superstar-shoes.jpg","Men Lifestyle"
"1755862441-30","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar Shoes","Discount","₹8 999.00 Original price","-40%Discount","₹5 399.50","Sale price","3 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f112bd38aab24636aa55aae700d35989_9366/superstar-shoes.jpg","originals"
"1755862441-31","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar Shoes","Discount","₹8 999.00 Original price","-50%Discount","₹4 499.50","Sale price","3 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d699a097bfb846298334aad80120f0f2_9366/superstar-shoes.jpg","Lifestyle"
"1755862441-32","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar 82 Shoes","Discount","₹14 999.00 Original price","-50%Discount","₹7 499.50","Sale price","","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0f0f2c6068844570be1d54570f37391d_9366/superstar-82-shoes.jpg","Men Lifestyle"
"1755862441-33","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar 82 Shoes","Discount","₹14 999.00 Original price","-50%Discount","₹7 499.50","Sale price","","","Men Lifestyle"
"1755862441-34","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","","Superstar II Shoes","Discount","₹11 999.00 Original price","-40%Discount","₹7 199.50","Sale price","15 colours","","originals"
"1755862518-35","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/6f82996a8cbd44528641b1dfcbbe5ede_9366/superstar-ii-shoes.jpg","originals"
"1755862518-36","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Superstar II Shoes","","","","","Price","15 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/49b671fbf6184f788b3355c023eb87f1_9366/superstar-ii-shoes.jpg","originals"
"1755862518-37","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","SL 72 Rs Shoes","","","","","Price","11 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4f792980e1744d5c938c2ba1ed1e0f1e_9366/sl-72-rs-shoes.jpg","Men originals"
"1755862518-38","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Handball Spezial Shoes","","","","","Price","14 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/52f0e4a951f8422881bc7acd59646bb1_9366/handball-spezial-shoes.jpg","Men originals"
"1755862518-39","https://www.adidas.co.in/","Price₹9 999.00Superstar II ShoesOriginals","https://www.adidas.co.in/superstar-ii-shoes/IH8659.html","SHOES","https://www.adidas.co.in/shoes","OTHER SPORTS","https://www.adidas.co.in/sport_shoes","BASKETBALL","https://www.adidas.co.in/basketball-shoes","","https://www.adidas.co.in/rivalry-lux-low-shoes/IF7185.html","Originals","https://www.adidas.co.in/originals","Shop Men","https://www.adidas.co.in/men-superstar","https://www.adidas.co.in/men-originals-shoes","Handball Spezial Shoes","","","","","Price","14 colours","https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f24d27cb8af2448b9d7bf9586d276063_9366/handball-spezial-shoes.jpg","Men originals"
